Transaction_ID,Account_ID,Amount,Category,Risk_Score,Audit_Sample_Flag
TXN-033554,38675,266.36,IT Services,Low,Selected
TXN-009428,98540,399.87,Travel,Low,Selected
TXN-000200,56717,281.39,Payroll,Low,Selected
TXN-012448,81695,1170.86,Travel,Low,Selected
TXN-039490,31742,248.73,Payroll,Low,Selected
TXN-042725,63551,236.92,Operations,Low,Selected
TXN-010823,78126,1883.09,IT Services,Low,Selected
TXN-049499,25716,208.57,IT Services,Low,Selected
TXN-004145,66184,26.12,Operations,Low,Selected
TXN-036959,63354,161.57,Operations,Low,Selected
TXN-043107,40058,60.35,IT Services,High,Selected
TXN-038696,25231,329.65,Operations,Low,Selected
TXN-006189,12159,143.72,Procurement,Low,Selected
TXN-001415,35510,772.53,IT Services,Medium,Selected
TXN-018472,75985,96.84,Travel,Low,Selected
TXN-029283,23635,194.34,Procurement,Low,Selected
TXN-015178,81857,215.7,Travel,Low,Selected
TXN-034305,34265,285.08,Payroll,Low,Selected
TXN-012610,10306,246.01,Travel,Low,Selected
TXN-012145,53372,20.55,Payroll,Low,Selected
TXN-006114,85179,635.25,Travel,Low,Selected
TXN-015909,55489,647.34,Travel,Low,Selected
TXN-000822,93807,818.8,Operations,Medium,Selected
TXN-015119,10533,348.55,Travel,Low,Selected
TXN-013467,13591,691.04,Payroll,Low,Selected
TXN-026498,89152,414.65,Payroll,Medium,Selected
TXN-042112,90640,967.9,IT Services,High,Selected
TXN-030189,70047,519.65,Procurement,Low,Selected
TXN-037238,86695,353.19,Procurement,Low,Selected
TXN-033110,13954,362.71,Procurement,Low,Selected
TXN-036481,11471,432.57,Procurement,Low,Selected
TXN-024149,27127,248.29,Travel,Low,Selected
TXN-005504,32927,1168.3,Operations,Low,Selected
TXN-003919,22297,287.01,Operations,High,Selected
TXN-038479,34459,487.36,Operations,Low,Selected
TXN-021124,61697,620.6,IT Services,Medium,Selected
TXN-049718,34838,171.18,IT Services,Medium,Selected
TXN-042295,95331,466.01,Operations,Low,Selected
TXN-047610,97595,181.29,Operations,Low,Selected
TXN-011077,72137,270.85,Travel,Low,Selected
TXN-041515,85469,78.81,Travel,Low,Selected
TXN-022063,71630,1358.46,Travel,Low,Selected
TXN-009414,87470,27.01,Travel,Low,Selected
TXN-038341,20333,432.67,IT Services,High,Selected
TXN-030264,29884,399.57,Payroll,High,Selected
TXN-041253,70048,2812.07,Procurement,Medium,Selected
TXN-014645,58398,750.95,IT Services,Low,Selected
TXN-026336,88673,122.84,Payroll,Low,Selected
TXN-028103,97567,1253.79,Travel,High,Selected
TXN-017524,48379,292.63,IT Services,Low,Selected
TXN-024713,76153,72.07,Procurement,Low,Selected
TXN-040486,68928,154.98,IT Services,Low,Selected
TXN-003851,23979,887.79,Operations,Low,Selected
TXN-040041,32859,76.6,Payroll,Low,Selected
TXN-015268,29874,91.51,IT Services,Low,Selected
TXN-049147,26674,255.6,Procurement,Low,Selected
TXN-030002,82665,528.13,Operations,Low,Selected
TXN-045927,52866,445.32,Payroll,Low,Selected
TXN-043825,19743,124.65,Payroll,High,Selected
TXN-017241,65476,414.26,IT Services,Low,Selected
TXN-004893,25735,646.06,Travel,Medium,Selected
TXN-000726,57926,54.38,Operations,Low,Selected
TXN-022950,78345,128.21,IT Services,Medium,Selected
TXN-034658,39785,1225.47,Procurement,Medium,Selected
TXN-037214,59410,993.34,Payroll,Low,Selected
TXN-020305,50385,493.64,Travel,Low,Selected
TXN-015270,72670,199.45,Procurement,Low,Selected
TXN-022368,76561,654.99,Travel,Low,Selected
TXN-042685,90792,233.2,Travel,Low,Selected
TXN-046735,98979,219.68,Travel,Low,Selected
TXN-011733,41323,564.35,IT Services,Medium,Selected
TXN-018620,32097,726.45,IT Services,Low,Selected
TXN-048493,85998,84.7,IT Services,Medium,Selected
TXN-026804,10832,162.83,IT Services,Low,Selected
TXN-044306,40135,109.62,IT Services,Low,Selected
TXN-047523,27235,413.13,IT Services,Low,Selected
TXN-032208,76629,64.71,Payroll,Low,Selected
TXN-002531,89751,224.24,Payroll,Low,Selected
TXN-017747,31134,903.92,Travel,Low,Selected
TXN-008271,27043,1401.61,Procurement,Low,Selected
TXN-015080,25668,206.31,IT Services,Low,Selected
TXN-013625,59485,191.17,Travel,Low,Selected
TXN-030639,87674,239.09,Payroll,Low,Selected
TXN-030441,34678,621.07,IT Services,Low,Selected
TXN-036057,40950,609.82,Procurement,Low,Selected
TXN-042652,53791,281.76,IT Services,Low,Selected
TXN-036804,89569,379.19,Procurement,Low,Selected
TXN-048225,59271,527.18,Procurement,Low,Selected
TXN-029227,89722,359.42,Procurement,Medium,Selected
TXN-005634,39978,170.66,Procurement,Low,Selected
TXN-005988,49516,296.38,IT Services,Low,Selected
TXN-048064,52980,1188.76,Travel,Low,Selected
TXN-001813,56163,2550.82,IT Services,Low,Selected
TXN-027579,70598,505.75,Procurement,Medium,Selected
TXN-016824,93190,1217.81,Payroll,Low,Selected
TXN-003929,95744,76.41,Operations,Medium,Selected
TXN-037287,87632,69.47,Payroll,Low,Selected
TXN-025046,15293,27.67,Procurement,Low,Selected
TXN-015728,36732,641.76,Travel,Medium,Selected
TXN-029601,81986,1135.88,Operations,High,Selected
TXN-010431,96008,78.57,Travel,Medium,Selected
TXN-025769,75057,109.57,Payroll,Medium,Selected
TXN-029104,67965,203.44,Procurement,Low,Selected
TXN-036538,39461,347.79,Procurement,Low,Selected
TXN-039329,36947,33.57,Procurement,Low,Selected
TXN-035540,22384,12.35,Travel,Low,Selected
TXN-028076,86159,923.51,IT Services,High,Selected
TXN-017841,47921,911.6,Operations,Medium,Selected
TXN-027803,56721,1159.36,Procurement,Low,Selected
TXN-007683,37938,132.33,Travel,Low,Selected
TXN-024280,67142,156.46,IT Services,Low,Selected
TXN-033071,37057,373.11,Operations,Low,Selected
TXN-035558,74705,218.99,Travel,Medium,Selected
TXN-037190,50348,744.03,IT Services,High,Selected
TXN-047150,93328,903.34,Procurement,Low,Selected
TXN-046916,17042,323.81,Operations,Low,Selected
TXN-009802,68182,1665.04,Procurement,Medium,Selected
TXN-038801,81164,214.85,Payroll,Low,Selected
TXN-024670,50428,28.68,Travel,Low,Selected
TXN-044234,86893,885.08,IT Services,Low,Selected
TXN-031920,58083,362.72,Travel,Low,Selected
