Transaction_ID,Account_ID,Amount,Category,Risk_Score
TXN-000001,25795,68.87,Travel,Low
TXN-000002,10860,34.36,Travel,Low
TXN-000003,86820,131.06,Operations,Medium
TXN-000004,64886,358.9,IT Services,High
TXN-000005,16265,209.27,IT Services,Low
TXN-000006,92386,300.04,Procurement,Low
TXN-000007,47194,54.02,Operations,Medium
TXN-000008,97498,142.7,Travel,Low
TXN-000009,54131,61.38,Travel,Low
TXN-000010,70263,140.49,Travel,Low
TXN-000011,26023,617.53,Operations,Medium
TXN-000012,51090,438.18,Operations,Low
TXN-000013,77221,213.21,Procurement,Low
TXN-000014,74820,161.38,Payroll,Low
TXN-000015,10769,3011.33,Operations,Low
TXN-000016,69735,740.22,Travel,Low
TXN-000017,72955,873.11,Operations,Low
TXN-000018,74925,23.36,Payroll,Medium
TXN-000019,77969,40.72,Operations,Medium
TXN-000020,15311,633.47,Travel,Medium
TXN-000021,93104,116.49,Procurement,Low
TXN-000022,63707,287.26,Operations,Low
TXN-000023,95305,111.77,Travel,Medium
TXN-000024,38693,107.44,Operations,High
TXN-000025,81932,67.75,Procurement,Medium
TXN-000026,35658,461.02,IT Services,Low
TXN-000027,94478,682.2,Travel,Low
TXN-000028,28431,39.26,Travel,Low
TXN-000029,12747,171.17,Operations,Low
TXN-000030,69150,547.01,IT Services,Low
TXN-000031,75725,259.05,Travel,Low
TXN-000032,94654,619.82,Travel,Low
TXN-000033,45773,721.95,IT Services,Low
TXN-000034,77435,26.41,Operations,Low
TXN-000035,66886,249.71,Travel,Low
TXN-000036,76803,663.07,Travel,Low
TXN-000037,41551,247.74,Procurement,Low
TXN-000038,21394,12.93,Payroll,Low
TXN-000039,79092,214.96,Travel,Low
TXN-000040,13890,1040.42,Travel,Low
TXN-000041,51606,1527.64,Travel,Medium
TXN-000042,90038,421.08,Procurement,Low
TXN-000043,97313,192.9,IT Services,Low
TXN-000044,20627,323.74,Payroll,Low
TXN-000045,18792,144.73,Procurement,Low
TXN-000046,83969,102.04,Payroll,Low
TXN-000047,53001,350.15,Operations,Low
TXN-000048,86552,677.2,Travel,Low
TXN-000049,33897,135.81,IT Services,Low
TXN-000050,78148,1211.41,Payroll,Low
TXN-000051,33483,102.1,Travel,Medium
TXN-000052,58555,418.69,IT Services,Low
TXN-000053,27159,758.91,Travel,Medium
TXN-000054,90077,130.01,Travel,Low
TXN-000055,45920,185.8,IT Services,Low
TXN-000056,77121,36.43,Travel,Low
TXN-000057,79479,1450.74,Operations,Low
TXN-000058,99475,343.71,Procurement,Low
TXN-000059,29457,43.23,Payroll,Low
TXN-000060,76557,896.35,IT Services,Low
TXN-000061,87189,431.22,Procurement,Medium
TXN-000062,88953,38.44,Payroll,Medium
TXN-000063,62995,309.73,IT Services,High
TXN-000064,50757,294.94,IT Services,Low
TXN-000065,19692,88.96,Operations,Low
TXN-000066,55758,282.69,IT Services,Low
TXN-000067,82409,176.21,Operations,Medium
TXN-000068,81211,611.89,Payroll,Low
TXN-000069,75697,12.75,Travel,Low
TXN-000070,47065,66.24,Operations,Low
TXN-000071,42606,1264.49,Travel,Low
TXN-000072,21534,293.99,Travel,Medium
TXN-000073,50397,106.9,IT Services,Low
TXN-000074,11016,798.07,Procurement,Medium
TXN-000075,99789,963.9,Travel,Low
TXN-000076,65591,128.63,Procurement,Low
TXN-000077,99812,635.18,Operations,Low
TXN-000078,33247,487.43,Travel,Low
TXN-000079,34300,693.36,Travel,Low
TXN-000080,84065,785.34,Travel,Low
TXN-000081,92798,550.78,Procurement,High
TXN-000082,19268,1574.25,Operations,Low
TXN-000083,96807,1008.38,Procurement,Low
TXN-000084,22185,140.01,Payroll,Low
TXN-000085,73704,1234.19,Payroll,Medium
TXN-000086,96779,232.83,IT Services,Low
TXN-000087,49099,658.3,Travel,Low
TXN-000088,18571,951.97,Payroll,Low
TXN-000089,48044,296.68,Payroll,Low
TXN-000090,61214,36.44,Procurement,Low
TXN-000091,71228,1504.49,Operations,Low
TXN-000092,58984,47.62,Travel,Low
TXN-000093,50774,223.94,Travel,Low
TXN-000094,12568,463.72,IT Services,Low
TXN-000095,72592,72.52,Operations,Low
TXN-000096,77563,920.72,Travel,Low
TXN-000097,12695,123.72,Procurement,Medium
TXN-000098,58190,2144.48,Travel,Low
TXN-000099,15258,1251.06,Payroll,Low
TXN-000100,97538,473.87,Travel,Low
TXN-000101,49504,549.42,Payroll,High
TXN-000102,43159,391.36,Operations,High
TXN-000103,23986,258.05,Payroll,Medium
TXN-000104,71858,226.71,Operations,Low
TXN-000105,22666,1121.22,IT Services,Low
TXN-000106,48660,439.74,Payroll,Medium
TXN-000107,13561,876.63,Operations,Medium
TXN-000108,36854,370.85,Procurement,Low
TXN-000109,74505,193.38,Operations,Low
TXN-000110,62251,58.12,IT Services,Low
TXN-000111,32662,205.56,Payroll,Low
TXN-000112,18392,1070.62,Procurement,Medium
TXN-000113,40535,632.33,Operations,Low
TXN-000114,88603,780.49,Payroll,High
TXN-000115,62256,752.36,IT Services,Low
TXN-000116,99135,73.9,Travel,Low
TXN-000117,45222,96.5,IT Services,Low
TXN-000118,87373,200.81,IT Services,Medium
TXN-000119,89575,189.07,Payroll,Low
TXN-000120,94651,44.18,Payroll,Low
TXN-000121,73335,93.31,Operations,Low
TXN-000122,20965,979.77,Procurement,Low
TXN-000123,34538,454.64,IT Services,Low
TXN-000124,80592,219.49,Payroll,Low
TXN-000125,18110,383.78,Payroll,Low
TXN-000126,89309,161.44,IT Services,Low
TXN-000127,37266,448.35,Operations,Low
TXN-000128,62992,48.78,Payroll,High
TXN-000129,92948,1174.72,Travel,Low
TXN-000130,16910,147.51,Travel,Low
TXN-000131,10206,864.84,Procurement,Medium
TXN-000132,97054,549.4,Operations,Low
TXN-000133,97897,380.13,IT Services,Low
TXN-000134,33419,1338.18,IT Services,Low
TXN-000135,60636,95.28,IT Services,Low
TXN-000136,60015,73.51,Travel,Low
TXN-000137,64268,204.2,IT Services,Low
TXN-000138,97939,896.63,Procurement,Low
TXN-000139,28141,27.92,Travel,Medium
TXN-000140,90356,146.83,Payroll,High
TXN-000141,81910,286.43,Operations,Low
TXN-000142,66044,634.03,Payroll,Low
TXN-000143,77214,187.85,Payroll,High
TXN-000144,43827,307.21,Operations,Low
TXN-000145,65820,215.38,Operations,High
TXN-000146,72623,58.29,IT Services,Low
TXN-000147,91734,681.0,IT Services,Low
TXN-000148,85450,319.37,Procurement,Low
TXN-000149,32299,847.02,Operations,Low
TXN-000150,53585,603.22,Operations,Low
TXN-000151,74044,39.78,Payroll,Low
TXN-000152,52557,356.65,IT Services,Low
TXN-000153,59080,2357.31,Procurement,Medium
TXN-000154,12693,193.99,IT Services,Medium
TXN-000155,79163,349.58,Operations,Low
TXN-000156,35939,537.82,Procurement,Low
TXN-000157,58925,122.99,IT Services,Low
TXN-000158,52941,616.18,Payroll,Low
TXN-000159,31834,549.08,IT Services,Low
TXN-000160,28047,244.97,IT Services,Medium
TXN-000161,36105,177.34,Procurement,Medium
TXN-000162,85766,1267.29,Procurement,Medium
TXN-000163,25707,77.92,Travel,Low
TXN-000164,31976,292.84,Operations,Low
TXN-000165,54262,738.32,Payroll,Low
TXN-000166,33776,90.16,IT Services,Low
TXN-000167,40080,1360.99,Procurement,Low
TXN-000168,76842,383.54,IT Services,Low
TXN-000169,71373,361.41,IT Services,Low
TXN-000170,16776,286.06,IT Services,Low
TXN-000171,65016,1020.4,IT Services,Medium
TXN-000172,19474,1492.52,Payroll,Medium
TXN-000173,68053,249.07,Payroll,High
TXN-000174,31959,400.87,Payroll,Low
TXN-000175,15530,199.48,Payroll,Low
TXN-000176,13748,239.45,Travel,Medium
TXN-000177,23545,24.37,Procurement,Low
TXN-000178,76199,780.74,Operations,Low
TXN-000179,44766,1752.29,Operations,High
TXN-000180,83530,743.81,Procurement,Low
TXN-000181,71087,375.12,Operations,High
TXN-000182,78840,888.71,Travel,Low
TXN-000183,64384,985.54,Procurement,Medium
TXN-000184,61005,403.2,Operations,High
TXN-000185,56576,1393.56,IT Services,Medium
TXN-000186,49353,25.32,Travel,High
TXN-000187,72003,15.07,Operations,Low
TXN-000188,93211,52.48,Travel,Low
TXN-000189,62733,39.8,Procurement,High
TXN-000190,75318,286.35,Procurement,Low
TXN-000191,99474,1419.39,Procurement,Low
TXN-000192,33664,572.31,Operations,Medium
TXN-000193,77172,548.6,Payroll,Low
TXN-000194,95616,252.97,Travel,Medium
TXN-000195,36736,391.53,Operations,Low
TXN-000196,10854,191.33,Travel,Medium
TXN-000197,48623,374.74,IT Services,Low
TXN-000198,17392,696.51,Procurement,Low
TXN-000199,65680,419.01,Procurement,Medium
TXN-000200,56717,281.39,Payroll,Low
TXN-000201,97092,941.91,Procurement,Low
TXN-000202,60859,179.45,IT Services,Low
TXN-000203,36309,338.4,Travel,Low
TXN-000204,97455,1921.71,Operations,Low
TXN-000205,73734,1720.52,Procurement,Medium
TXN-000206,80467,13.15,Operations,Low
TXN-000207,62662,389.89,Payroll,Low
TXN-000208,22688,215.43,Procurement,Low
TXN-000209,35342,182.11,Payroll,Low
